Dataset title / Calibration periods / Tail length / period length / Min invest (-99 vai 0 vai 0.1);Meginajums1;784;9999;23;-95;
Timeseries title (15char):;INDEX WITH EQUAL WEIGHTS based on market value;EQUITY LM SNP;REX BOND;;;
Comments (bez koliem):;INDEX WITH MARKET WEIGHTS;S&P GERMANY :LM - TOT RETURN IND;REX BOND SUB INDEX CURRENT 1 YR ;;mean;0.000158589
04.01.2011;0.010932786;-0.004971041;-0.000209879;;st.dev;0.004801983
05.01.2011;0.003558376;0.001885991;0.000169472;;skew;-1.581904427
06.01.2011;0.007245649;-0.000789903;6.75518E-05;;kurt;21.60746832
07.01.2011;0.003667587;-0.007979066;-4.57095E-05;;;
10.01.2011;-0.005393866;0.009023861;-8.05103E-05;;;
11.01.2011;-0.005820319;0.006706687;-0.000163719;;;
12.01.2011;0.003582409;-0.002120004;-0.000184863;;;
13.01.2011;0.004580411;-0.00060075;-0.000563192;;;
14.01.2011;-0.001630956;-0.001312524;0.000192449;;;
17.01.2011;-0.007767063;0.00501193;-3.70449E-05;;;
18.01.2011;5.68919E-05;-0.006001954;-0.000168696;;;
19.01.2011;-0.013412251;-0.008113329;7.4428E-05;;;
20.01.2011;0.01545793;0.001033244;-0.000243971;;;
21.01.2011;-0.005764479;-0.001008615;-6.46128E-05;;;
24.01.2011;0.001913684;0.000713653;1.29859E-05;;;
25.01.2011;0.025535802;0.007000181;5.96051E-05;;;
26.01.2011;-0.001510125;0.001039156;-8.4795E-05;;;
27.01.2011;-0.003561502;-0.002250612;-0.00029613;;;
28.01.2011;0.005557026;-0.002652746;-0.000178997;;;
31.01.2011;0.009802444;0.005819616;0.000330374;;;
01.02.2011;0.006149747;0.000156535;-0.000181283;;;
02.02.2011;-0.00207463;0.001154208;-0.000131078;;;
03.02.2011;-0.010841633;0.00195275;6.89159E-06;;;
04.02.2011;0.004232546;0.007430704;0.000128101;;;
07.02.2011;-0.005402385;0.00230868;0.000323999;;;
08.02.2011;0.00919154;-0.001346215;-0.00023147;;;
09.02.2011;0.001270992;-0.001915291;-2.59875E-05;;;
10.02.2011;0.001180439;0.001891842;7.21662E-05;;;
11.02.2011;-0.000490853;0.003596372;0.000200625;;;
14.02.2011;0.001454078;-0.002355296;-0.000185285;;;
15.02.2011;-0.001211518;-0.000467914;0.000172299;;;
16.02.2011;-0.004892977;-0.001853205;-0.000121119;;;
17.02.2011;-0.001886334;-0.00016459;0.000113765;;;
18.02.2011;0.007433713;-0.007017521;-0.000167606;;;
21.02.2011;-0.004139561;-0.000550058;-0.00029515;;;
22.02.2011;-0.00753541;-0.008604001;-0.00020884;;;
23.02.2011;0.002504628;-0.004527073;0.000297171;;;
24.02.2011;0.000292471;0.008318364;0.000122287;;;
25.02.2011;0.001294752;0.004130148;8.03056E-05;;;
28.02.2011;-0.003625033;0.00081416;-5.00914E-05;;;
01.03.2011;-0.002482374;-0.003651675;0.000111132;;;
02.03.2011;-0.00110298;0.002045838;6.91695E-05;;;
03.03.2011;0.002982606;-0.002842709;-0.00075238;;;
04.03.2011;0.002216305;0.001291161;-2.22592E-05;;;
07.03.2011;-0.007110118;0.001611573;7.19464E-05;;;
08.03.2011;-0.003846877;6.00178E-05;0.000128189;;;
09.03.2011;-0.005271842;-0.006128417;7.99029E-05;;;
10.03.2011;0.006032144;-0.005623798;0.000163677;;;
11.03.2011;0.001173737;-0.004823822;3.93046E-05;;;
14.03.2011;-0.010614311;-0.011587939;0.00056506;;;
15.03.2011;0.002834883;-0.002710696;-2.54909E-05;;;
16.03.2011;0.000994917;0.007524919;0.000148076;;;
17.03.2011;-0.004903867;0.002525783;-2.97051E-05;;;
18.03.2011;0.00267224;0.009798732;-0.00031625;;;
21.03.2011;-0.004796609;-0.002295966;-0.000195152;;;
22.03.2011;-8.77267E-05;0.000185609;8.93706E-05;;;
23.03.2011;-0.008343039;0.00682454;-9.43796E-05;;;
24.03.2011;-0.00311181;0.000340862;0.00011582;;;
25.03.2011;-0.006415751;0.001336516;-8.82705E-05;;;
28.03.2011;0.00758415;-4.85286E-05;-5.61957E-05;;;
29.03.2011;-0.000539688;0.004406055;2.47333E-05;;;
30.03.2011;-0.000423376;-0.000600933;2.72363E-05;;;
31.03.2011;0.004018311;0.005259893;-0.000132284;;;
01.04.2011;0.003953805;0.002948636;4.82218E-05;;;
04.04.2011;0.011396528;0.001684387;1.44029E-05;;;
05.04.2011;-0.000572864;0.000199808;-0.000120717;;;
06.04.2011;0.006596588;-0.004084896;0.000133398;;;
07.04.2011;0.002134861;0.00082953;-0.000295973;;;
08.04.2011;-0.00734893;-0.002540991;-5.7652E-05;;;
11.04.2011;0.0010036;-0.006611709;0.000141766;;;
12.04.2011;0;0.002219116;0.000128568;;;
13.04.2011;0;-0.001590824;0.00013213;;;
14.04.2011;0.001487831;0.002372048;4.89906E-05;;;
15.04.2011;-0.004940296;-0.006899088;0.000115802;;;
18.04.2011;0.005273147;0.002675808;-1.42389E-05;;;
19.04.2011;-0.005264381;0.008572354;-2.94181E-05;;;
20.04.2011;-0.001457965;0.001933496;7.9174E-05;;;
21.04.2011;0.000805163;0;0;;;
22.04.2011;-0.002202528;0;0;;;
25.04.2011;-0.006253796;0.004157989;0.000288566;;;
26.04.2011;0.015442481;0.001883281;3.12703E-06;;;
27.04.2011;2.12514E-05;0.001258758;-0.000125568;;;
28.04.2011;-0.004451867;0.002703291;1.09477E-06;;;
29.04.2011;-0.012406383;0.001754494;-0.000127481;;;
02.05.2011;0.007388425;-0.001430765;4.42708E-05;;;
03.05.2011;-0.001727213;-0.005454557;-0.000353353;;;
04.05.2011;-0.00335812;0.0015188;-0.000130428;;;
05.05.2011;-0.001288285;0.004155293;0.000690371;;;
06.05.2011;-0.001439679;0.000600269;-8.44306E-06;;;
09.05.2011;-0.008951831;0.00430447;8.8175E-05;;;
10.05.2011;-0.007082654;-0.000708735;0.000155982;;;
11.05.2011;-0.019174352;-0.001891804;0.00025136;;;
12.05.2011;-0.001268179;0.001181911;-0.000162766;;;
13.05.2011;0.0073726;-0.001021073;-9.46886E-05;;;
16.05.2011;0.000171743;-0.005630133;0.000201071;;;
17.05.2011;-0.005247147;0.000697606;-8.99785E-05;;;
18.05.2011;-0.003695443;0.003125434;9.06118E-06;;;
19.05.2011;-0.000415;-6.92103E-05;7.93553E-05;;;
20.05.2011;0.003385532;-0.009163261;0.000227988;;;
23.05.2011;0.000656975;0.002373457;-4.76177E-05;;;
24.05.2011;-0.004235369;-0.000105472;0.000320421;;;
25.05.2011;0.007960992;-0.001679286;-0.000112035;;;
26.05.2011;-0.002138396;0.003165255;0.000349272;;;
27.05.2011;0.001556023;0.002875555;2.93142E-05;;;
30.05.2011;-0.003100246;0.005018401;-0.000191826;;;
31.05.2011;-0.002067349;-0.001229044;8.73536E-06;;;
01.06.2011;0.003078896;-0.00545183;2.74529E-05;;;
02.06.2011;0.001248024;-0.000279641;-9.26603E-05;;;
03.06.2011;0.000155359;-0.001003529;2.4805E-05;;;
06.06.2011;-0.000977926;2.33642E-05;-5.36679E-05;;;
07.06.2011;-0.003601826;-0.005620111;-0.000148557;;;
08.06.2011;0.010655229;0.004216027;0.0001406;;;
09.06.2011;0.00031585;-0.004642259;0.00031022;;;
10.06.2011;-0.000555498;0.000615534;9.79019E-05;;;
13.06.2011;-0.000951386;0.005465853;1.13789E-05;;;
14.06.2011;0.003269068;-0.003530249;-0.000104292;;;
15.06.2011;-0.000801003;-0.004010593;0.000323861;;;
16.06.2011;-0.001627642;-0.000154538;-3.80155E-05;;;
17.06.2011;0.000925093;-0.002061802;0.000134597;;;
20.06.2011;0.002467379;0.006815345;-0.00020347;;;
21.06.2011;0.004630048;0.000892861;7.63573E-06;;;
22.06.2011;-0.004714901;-0.006848925;0.00011857;;;
23.06.2011;-0.003822383;0.000321792;0.000202009;;;
24.06.2011;0.005078245;-0.002293499;0.000118483;;;
27.06.2011;0.000933434;0.0030791;-5.12193E-05;;;
28.06.2011;0.012919663;0.009178312;-0.00039096;;;
29.06.2011;-0.006860495;0.006058784;-0.000104575;;;
30.06.2011;0.001375577;0.002838312;-0.000122218;;;
01.07.2011;-0.0002161;0.004064799;-2.93125E-05;;;
04.07.2011;0.001863124;-0.000124331;-4.38166E-05;;;
05.07.2011;0.004273732;-0.000226148;0.000156534;;;
06.07.2011;0.008357754;0.003694037;8.85322E-05;;;
07.07.2011;-0.007855635;-0.004158009;0.000156758;;;
08.07.2011;0.002995518;-0.009720725;0.000300735;;;
11.07.2011;-0.001180445;-0.004059889;0.000729246;;;
12.07.2011;-0.000879141;0.00562021;-0.000490955;;;
13.07.2011;-0.003993546;-0.006509367;0.000249513;;;
14.07.2011;-0.002734146;-0.001125754;0.000162169;;;
15.07.2011;0.004078864;-0.009988863;2.11412E-05;;;
18.07.2011;-0.004445364;0.003613458;4.94291E-05;;;
19.07.2011;-0.001786716;0.002092073;2.64228E-06;;;
20.07.2011;-0.002668866;0.002129247;-2.58017E-05;;;
21.07.2011;0.004750019;0.003958571;-0.000437775;;;
22.07.2011;-0.005693346;0.000911108;0.00010828;;;
25.07.2011;0.001033436;-0.002844772;0.000102499;;;
26.07.2011;-0.001440582;-0.005210816;-6.53181E-06;;;
27.07.2011;-0.002160407;-0.007203548;0.000532486;;;
28.07.2011;0.003540211;-0.001756;-3.07564E-05;;;
29.07.2011;0.000155693;-0.006048682;0.000141803;;;
01.08.2011;-0.001718922;-0.015800648;0.00023427;;;
02.08.2011;0.007470869;-0.010735988;0.000196912;;;
03.08.2011;-0.004878252;-0.020392781;3.22671E-05;;;
04.08.2011;-0.00249699;-0.005324264;0.001089313;;;
05.08.2011;-0.001453976;-0.027794706;7.25651E-05;;;
08.08.2011;0.008786828;0.01291493;0.000409634;;;
09.08.2011;-0.009193094;-0.010333393;6.49121E-05;;;
10.08.2011;-0.009157496;0.019190035;0.000496257;;;
11.08.2011;-0.003345213;0.013330699;-0.000180953;;;
12.08.2011;-0.000695835;0.004264081;-0.000254573;;;
15.08.2011;-0.009140038;-0.009370579;-4.86764E-05;;;
16.08.2011;0.00412037;-0.0065248;-9.11777E-06;;;
17.08.2011;0.002168005;-0.024819461;0.00039606;;;
18.08.2011;0.01365311;-0.005346057;0.000117945;;;
19.08.2011;-0.007882739;0.001529894;3.61181E-05;;;
22.08.2011;0.002466913;0.003370687;-1.3891E-06;;;
23.08.2011;-0.003304063;0.011884768;-0.000148968;;;
24.08.2011;-0.003577045;-0.002275506;-8.64637E-06;;;
25.08.2011;-0.002067252;-0.001893242;0.000278141;;;
26.08.2011;-0.001494856;0.011365579;-6.18795E-05;;;
29.08.2011;0.003986493;0.002226538;-7.40762E-06;;;
30.08.2011;-0.000232437;0.011984088;-0.000217192;;;
31.08.2011;-0.00323476;-0.000881565;2.94901E-05;;;
01.09.2011;-0.001261118;-0.014396736;0.000450595;;;
02.09.2011;0.000604188;-0.021175046;0.000362451;;;
05.09.2011;-0.000449036;-0.004059559;-5.34776E-05;;;
06.09.2011;0.001805318;0.018714968;6.78139E-06;;;
07.09.2011;-0.000817241;0.00332949;-4.28478E-05;;;
08.09.2011;-0.004445723;-0.012172515;0.000411041;;;
09.09.2011;0.002652902;-0.009856836;0.000199988;;;
12.09.2011;0.006964753;0.005612979;-0.0002582;;;
13.09.2011;0.00604576;0.013376162;-0.000321695;;;
14.09.2011;-0.002705795;0.006258864;-0.000147061;;;
15.09.2011;0.003874265;0.004536938;-0.000188292;;;
16.09.2011;0.005815789;-0.01109955;0.00055585;;;
19.09.2011;-0.000321162;0.00620616;6.73134E-05;;;
20.09.2011;-0.003266131;-0.007031691;8.63985E-05;;;
21.09.2011;-0.002234886;-0.021652718;0.000227541;;;
22.09.2011;0.013408007;-0.002828194;4.90951E-05;;;
23.09.2011;-0.007614002;0.00339163;7.94023E-05;;;
26.09.2011;0.003516812;0.018821877;-0.000437201;;;
27.09.2011;0.00206273;-0.004452839;-0.000213988;;;
28.09.2011;-0.010326886;0.002232126;7.14953E-05;;;
29.09.2011;-0.002736135;-0.013115028;3.75919E-05;;;
30.09.2011;7.9568E-06;-0.009755377;0.000189451;;;
03.10.2011;-0.000396106;-0.017468948;-5.03581E-05;;;
04.10.2011;0.004683158;0.013077474;-1.46311E-05;;;
05.10.2011;0.00218955;0.015051695;0.000129045;;;
06.10.2011;-0.001963971;0.003092359;-0.000413757;;;
07.10.2011;-0.001780148;0.010244211;-0.000142272;;;
10.10.2011;0.001565607;0.000452656;0.000334103;;;
11.10.2011;-0.002832227;0.010026343;-7.33328E-05;;;
12.10.2011;-0.005203225;-0.002574622;-2.66555E-05;;;
13.10.2011;-0.002834073;0.004822056;0.000108307;;;
14.10.2011;0.001255325;-0.004391892;-6.54738E-05;;;
17.10.2011;-0.002207931;0.001787782;0.000426404;;;
18.10.2011;-0.000269026;0.001865731;-0.000250032;;;
19.10.2011;0.001172172;-0.008655317;-0.000247095;;;
20.10.2011;0.00189473;0.010513067;0.00037644;;;
21.10.2011;-0.002495564;0.008963506;5.26509E-05;;;
24.10.2011;0.002266136;-0.002962675;6.77333E-06;;;
25.10.2011;0.000875737;-0.000209403;0.000215306;;;
26.10.2011;-0.001047419;0.013635531;-5.57016E-05;;;
27.10.2011;-0.000763633;-0.001626878;-0.000205942;;;
28.10.2011;0.000702052;-0.010531033;0.000227793;;;
31.10.2011;0.002476653;-0.018580224;0.000189993;;;
01.11.2011;0.001733774;0.006902057;4.27561E-05;;;
02.11.2011;-0.003119824;0.013081427;4.0599E-05;;;
03.11.2011;0.000539261;-0.001333684;0.000310058;;;
04.11.2011;-0.0039356;-0.003688891;-2.44338E-05;;;
07.11.2011;0.000497764;0.003326979;-1.16795E-05;;;
08.11.2011;0.001088216;-0.007996782;5.17871E-05;;;
09.11.2011;-0.00381287;-0.003846743;-2.36646E-05;;;
10.11.2011;0.002752355;0.012900575;1.42911E-05;;;
11.11.2011;-0.000806451;-0.0048614;7.39066E-05;;;
14.11.2011;-0.002799957;-0.007338527;0.0003259;;;
15.11.2011;-0.002688708;-0.00183265;-8.47534E-05;;;
16.11.2011;0.000206098;-0.006519563;2.13434E-05;;;
17.11.2011;0.003942559;-0.005113112;-0.000153266;;;
18.11.2011;0.003960422;-0.015344193;0.000130387;;;
21.11.2011;-0.004839226;-0.005546777;6.15709E-05;;;
22.11.2011;-0.001062028;-0.004086082;-0.000117775;;;
23.11.2011;-0.002684592;0.005028337;-5.62118E-05;;;
24.11.2011;0.000871141;0.00200129;8.84611E-05;;;
25.11.2011;0.001968204;0.015583028;-2.39564E-05;;;
28.11.2011;0.001076836;0.001715471;0.000322226;;;
29.11.2011;0.002286794;0.017019147;0.000501822;;;
30.11.2011;-0.006329418;-0.003777303;3.92379E-05;;;
01.12.2011;0.000955214;0.003294501;8.61271E-05;;;
02.12.2011;0.010649251;0.00240866;-0.000254139;;;
05.12.2011;-0.007283653;-0.004216829;-2.91328E-05;;;
06.12.2011;0.004151115;-0.005094632;3.51125E-05;;;
07.12.2011;0.003040328;-0.00861634;0.000132145;;;
08.12.2011;1.27035E-05;0.002291022;-0.000139964;;;
09.12.2011;-0.000174675;-0.010346128;0.000117125;;;
12.12.2011;-0.000968161;0.001437666;-6.36179E-05;;;
13.12.2011;0.000226883;-0.008408543;3.11203E-05;;;
14.12.2011;-0.001137986;0.005528437;0.000248729;;;
15.12.2011;-0.001906459;-0.000210757;-1.89983E-05;;;
16.12.2011;-0.000921509;-0.002840116;-6.02178E-05;;;
19.12.2011;-0.000618953;0.010363657;4.0759E-05;;;
20.12.2011;-0.003541008;-0.002017356;-8.27478E-05;;;
21.12.2011;-0.000566364;0.003583235;6.02236E-05;;;
22.12.2011;-1.08212E-05;0.003334472;6.40454E-05;;;
23.12.2011;0.003831449;0;0;;;
26.12.2011;0.010758341;0.000380293;5.56107E-05;;;
27.12.2011;0;-0.003714765;1.39399E-05;;;
28.12.2011;0.004071965;0.003173479;9.41973E-05;;;
29.12.2011;0.001211866;0.003513622;-1.8378E-06;;;
30.12.2011;-0.003379888;0.009947918;5.51338E-06;;;
02.01.2012;-0.001404494;0.005289545;-2.38918E-05;;;
03.01.2012;0;-0.002940089;-0.000111819;;;
04.01.2012;-0.001795419;-0.001739641;-9.08549E-05;;;
05.01.2012;-0.003321142;0.001824324;6.51171E-05;;;
06.01.2012;-0.000419915;-0.00280328;-0.000127945;;;
09.01.2012;-0.002744125;0.006638972;4.90374E-05;;;
10.01.2012;0.003887961;0.003774378;-2.02272E-05;;;
11.01.2012;-0.002026635;0.003191578;-3.37142E-05;;;
12.01.2012;0.003187659;-0.002083613;9.20948E-05;;;
13.01.2012;0.002516995;0.003650076;-0.000144817;;;
16.01.2012;-8.8324E-05;0.006655932;-0.000119108;;;
17.01.2012;-0.000775142;0.003001784;-0.000165456;;;
18.01.2012;0.001694323;0.003886181;8.95596E-05;;;
19.01.2012;-0.004011778;-0.001851948;-0.000112719;;;
20.01.2012;-0.002360218;0.003669554;0.000119006;;;
23.01.2012;0.000813292;-0.004980007;-8.75645E-05;;;
24.01.2012;-0.000481128;0.002457194;-0.000116422;;;
25.01.2012;0.004579187;0.007105883;0.000245539;;;
26.01.2012;-0.002345117;-0.000314526;2.60648E-06;;;
27.01.2012;0.007325375;-0.007764559;7.97266E-06;;;
30.01.2012;0.010544191;0.005345598;-4.30848E-05;;;
31.01.2012;0.003534158;0.00994407;2.23862E-05;;;
01.02.2012;-0.001045462;0.003822791;0.000193608;;;
02.02.2012;0.000710808;0.006578521;-0.000112353;;;
03.02.2012;-0.000175998;-0.000402742;1.6096E-05;;;
06.02.2012;0.006612468;-0.002639636;-2.60597E-06;;;
07.02.2012;-0.000148516;0.001870872;-0.000251626;;;
08.02.2012;0.003752423;0.000869484;1.34974E-05;;;
09.02.2012;-0.006894948;-0.003450361;-6.81047E-05;;;
10.02.2012;0.004670999;0.001330308;3.48206E-05;;;
13.02.2012;0.005364063;-0.00249927;-0.000113522;;;
14.02.2012;-0.000729231;0.0042163;-0.000133657;;;
15.02.2012;0.003545241;-0.002514726;0.000164342;;;
16.02.2012;0.001662098;0.006515734;3.08359E-05;;;
17.02.2012;-0.004264533;0.006898918;-0.000122896;;;
20.02.2012;0.003925863;-0.004620198;-1.6573E-05;;;
21.02.2012;0.000723903;-0.004067719;9.78941E-05;;;
