Dataset title / Calibration periods / Tail length / period length / Min invest (-99 vai 0 vai 0.1);Meginajums1;4176;9999;23;-95;
Timeseries title (15char):;PE MARKET w;EQUITY LM SNP;REX BOND;;;
Comments (bez koliem):;EQUAL WEIGHTS;S&P GERMANY :LM - TOT RETURN IND;REX BOND SUB INDEX CURRENT 1 YR ;;;
04.01.1999;0.098026033;0.001301665;0.000100171;;mean;0.000331867
05.01.1999;0.105251102;0.016089802;6.37953E-05;;stdev;0.185078462
06.01.1999;-0.104565743;-0.008521871;0.00019133;;skew;-0.334039688
07.01.1999;-0.065916221;0.005703866;6.42149E-05;;kurt;17.19777656
08.01.1999;0.001845255;-0.008677773;5.30101E-05;;;
11.01.1999;0.104736201;-0.005629985;-9.59618E-06;;;
12.01.1999;0.017733132;-0.023519746;0.000166989;;;
13.01.1999;-0.079405201;-0.00294756;0.000165555;;;
14.01.1999;-0.011588672;0.005278007;0.000189454;;;
15.01.1999;-0.004578711;0.007857353;4.97466E-05;;;
18.01.1999;-0.012924965;0.00223763;0.000140081;;;
19.01.1999;0.002268982;0.00771665;-1.73366E-05;;;
20.01.1999;0.224181991;0.000865966;0.00014141;;;
21.01.1999;-0.127616161;-0.011825724;7.79839E-05;;;
22.01.1999;-0.00678611;-0.00283305;9.59785E-05;;;
25.01.1999;0.000838571;0.000460316;-5.88157E-05;;;
26.01.1999;-0.09270286;0.007842003;-7.22767E-05;;;
27.01.1999;0.027929323;0.002882183;0.000175769;;;
28.01.1999;0.094171161;0.006769486;4.96856E-05;;;
29.01.1999;-0.106126818;0.00216625;-4.87739E-05;;;
01.02.1999;0.218048291;-0.001775022;-2.4389E-05;;;
02.02.1999;-0.226731553;-0.007943701;-8.75382E-05;;;
03.02.1999;0.102098976;-0.001660489;0.00011603;;;
04.02.1999;0.12862552;-0.001032959;5.44709E-05;;;
05.02.1999;-0.215646327;-0.005358998;-0.000110772;;;
08.02.1999;0.001289584;-0.010947398;6.88372E-05;;;
09.02.1999;-0.010157332;-0.00868984;8.18154E-05;;;
10.02.1999;0.090858206;0.005537689;5.55984E-05;;;
11.02.1999;0.034047017;0.004987078;0.000116414;;;
12.02.1999;0.005301926;-0.000708943;-3.6903E-05;;;
15.02.1999;0.008402128;0.002655917;5.74033E-05;;;
16.02.1999;0.000378694;-0.008600172;-1.48057E-05;;;
17.02.1999;-0.096585681;0.004482592;0.000217023;;;
18.02.1999;0.100850164;-0.002884076;2.70918E-05;;;
19.02.1999;0.00184346;0.002843777;9.94741E-05;;;
22.02.1999;0.002810203;0.012943246;8.5798E-05;;;
23.02.1999;0.126188506;0.006689449;-4.59692E-05;;;
24.02.1999;-0.00482713;-0.009370731;-6.87353E-05;;;
25.02.1999;-0.125065615;-0.004550114;-0.000239521;;;
26.02.1999;0.300461928;-0.010683762;-6.83286E-05;;;
01.03.1999;-0.31084364;0.001492143;-0.000247439;;;
02.03.1999;-0.100178291;-0.010956844;0.000136496;;;
03.03.1999;0.094047298;-0.001056746;2.05049E-05;;;
04.03.1999;0.00304876;0.014740426;0.000212966;;;
05.03.1999;0.01155631;-0.004654021;0.000157095;;;
08.03.1999;0.022865979;-0.002099758;9.44575E-05;;;
09.03.1999;0.120859323;-0.002989849;0.000101035;;;
10.03.1999;-0.231823558;0.003563518;0.000149689;;;
11.03.1999;0.007125994;0.020657933;0.000208069;;;
12.03.1999;0.220799916;0.001169835;3.09176E-05;;;
15.03.1999;-0.10796748;0.005584572;1.88678E-05;;;
16.03.1999;-0.096025731;-0.001219118;0.000115916;;;
17.03.1999;0.22261326;-0.005938963;0.000215386;;;
18.03.1999;-0.21466141;0.007631971;5.45142E-06;;;
19.03.1999;0.205397248;-0.005124858;-7.51903E-05;;;
22.03.1999;-0.247329616;-0.010156256;1.43121E-05;;;
23.03.1999;0.084061015;-0.012659719;0.000126971;;;
24.03.1999;0.132787584;0.007846546;0.000189366;;;
25.03.1999;-0.13264902;-0.00735537;1.81606E-06;;;
26.03.1999;-0.017261439;0.008934527;0.000164549;;;
29.03.1999;0.131846406;-0.00145851;6.9886E-05;;;
30.03.1999;0.00810357;0.003324669;0.000289408;;;
31.03.1999;-0.00016018;0.004340996;0.000136019;;;
01.04.1999;0.477121255;0;0;;;
02.04.1999;0;0;0;;;
05.04.1999;-0.477950959;0.005313898;0.000198057;;;
06.04.1999;0.00199836;0.006968476;-4.10091E-05;;;
07.04.1999;-0.127258248;0.001367616;0.000120297;;;
08.04.1999;0.009908341;0.005767944;0.000505293;;;
09.04.1999;0.122481047;0.002511323;9.09446E-05;;;
12.04.1999;-0.131670617;0.003702724;7.62249E-05;;;
13.04.1999;6.97203E-05;-0.00322721;8.6161E-05;;;
14.04.1999;0.129763972;2.50126E-05;0.000108299;;;
15.04.1999;-0.000427666;-0.001955325;6.78196E-07;;;
16.04.1999;0.178156709;0.005169936;1.78588E-05;;;
19.04.1999;-0.403233399;-0.009639948;0.000182389;;;
20.04.1999;0.096847434;0.006475358;0.000135555;;;
21.04.1999;-0.001274398;0.004292773;0.000131448;;;
22.04.1999;-0.005495384;-0.001910953;6.77461E-06;;;
23.04.1999;-0.001670066;0.005474554;6.9095E-05;;;
26.04.1999;0.133795608;0.007354701;3.02538E-05;;;
27.04.1999;0.176937973;-0.001608836;4.51534E-07;;;
28.04.1999;-0.171443035;-0.00154184;8.93944E-05;;;
29.04.1999;0.004144004;0.00521046;3.56623E-05;;;
30.04.1999;0.000767107;-0.000625334;-5.55262E-05;;;
03.05.1999;0.174433152;0.000493127;1.55751E-05;;;
04.05.1999;-0.404996171;-0.006747657;-6.38842E-05;;;
05.05.1999;0.228727854;-0.002448667;0.000134981;;;
06.05.1999;-0.001241427;0.002765982;3.15948E-05;;;
07.05.1999;-0.220675441;-0.007059854;6.3634E-05;;;
10.05.1999;0.100235304;0.004416634;0.000100396;;;
11.05.1999;0.125357679;-7.36529E-05;0.00012473;;;
12.05.1999;0.477121255;0;0;;;
13.05.1999;-0.60070458;-0.005970415;0.0001788;;;
14.05.1999;-0.00245092;-0.005448244;-0.00014114;;;
17.05.1999;-0.001206902;0.003489739;6.51645E-05;;;
18.05.1999;0.121988767;0.00213272;-8.11753E-05;;;
19.05.1999;-0.218600133;0.004899087;0.00014881;;;
20.05.1999;0.102793382;0.003198989;2.84033E-05;;;
21.05.1999;0.602059991;0;0;;;
24.05.1999;-0.699499138;-0.008708136;0.000168353;;;
25.05.1999;0.091155271;0.000572734;3.56005E-05;;;
26.05.1999;0.125861382;-0.006569328;5.27194E-05;;;
27.05.1999;-0.224452111;-0.001632617;-5.70003E-05;;;
28.05.1999;0.096650863;0.001038498;2.74872E-05;;;
31.05.1999;-0.086036926;-0.002868232;-0.000166753;;;
01.06.1999;0.096550597;-0.001671273;-0.000175836;;;
